id,ano,mes,kwh,valor_tusd,valor_te,valor_bandeira,valor_acrescimos,valor_descontos,valor_outros,base_icms,faixa_icms,base_pis_cofins,aliquota_pis,aliquota_cofins,dias_leitura,bandeira_amarela,bandeira_vermelha_1,bandeira_vermelha_2
1,2018,1,230000,60.04,92.28,6.08,4.23,,7.11,158.4,2,158.4,0.84,3.85,29,,18,
2,2018,2,233000,61.72,94.85,,4.04,,7.11,156.57,2,156.57,1.01,4.7,29,,,
3,2018,3,249000,63.27,97.25,,3.17,,7.11,160.52,2,160.52,0.49,2.28,32,,,
4,2018,4,217000,57.17,87.86,,,,7.11,145.03,2,145.03,0.96,4.37,29,,,
5,2018,5,229000,62.31,95.76,1.24,3.38,,7.11,159.31,2,159.31,1.35,6.2,30,11,,
6,2018,6,259000,70.76,108.75,9.62,4.14,,7.11,189.13,2,189.13,1.26,6.65,32,20,,12
7,2018,7,264000,69.58,106.92,18.95,,,7.11,195.45,2,195.45,0.95,4.4,30,,,30
8,2018,8,318000,84.43,129.74,23,4.55,,10.67,237.17,2,237.17,1.04,4.82,29,,,29
9,2018,9,318000,83.77,128.73,22.83,5.63,,10.67,235.33,2,235.33,0.95,4.37,33,,,32
10,2018,10,212000,54.56,83.84,14.87,,1.63,7.11,153.27,2,153.27,0.66,3.02,29,,,29
11,2018,11,228000,69.95,104.05,11.63,,,8.48,185.63,2,185.63,1.15,5.33,32,12,,20
12,2018,12,206000,65.97,95.75,1.71,4.29,,8.48,163.43,2,163.43,0.89,4.11,31,18,,
13,2019,1,248000,78.65,115.64,,,,8.48,194.29,2,194.29,0.8,3.7,32,,,
14,2019,2,215000,68.16,99.97,,4.64,,8.48,168.13,2,168.13,0.77,3.54,28,,,
15,2019,3,213000,67.3,98.69,,4.28,,8.48,165.99,2,165.99,0.73,3.32,30,,,
16,2019,4,218000,70.16,102.88,,4.64,,8.48,173.04,2,173.04,0.95,4.39,28,,,
17,2019,5,251000,82.59,121.13,1.44,,,8.48,205.16,2,205.16,1.22,5.66,33,13,,
18,2019,6,265000,84.92,124.55,2.35,4.85,,8.48,211.82,2,211.82,0.9,4.16,29,18,,
19,2019,7,265000,85.27,125.05,2.2,,2.31,8.48,212.52,2,212.52,0.95,4.39,31,12,,
20,2019,8,245000,79.04,115.92,8.69,,,8.48,203.65,2,203.65,0.91,4.15,31,19,12,
21,2019,9,250000,80.13,117.51,14.3,,,8.48,211.94,2,211.94,0.91,4.15,29,,28,
22,2019,10,168000,46.34,"67,94",6.41,,,5.3,120.69,1,120.69,1.2,5.52,31,11,20,
